sent_text_RU,source,type,
"То был запах вокзалов , пристаней , палуб — всего , что связано со странствиями , со сменой обширных сухопутных и морских пространств , с шествием в светоносной фиолетовой синеве архипелага далеких розовеющих островов , откуда ветер доносит слабый запах лимона , с сырым ветром и беспокойными огнями плавучих маяков Ла Манша , с плавным ходом поезда сквозь наши дремлющие лесные края , со всем , что берет в пожизненный плен наше слабое человеческое сердце .",пространство,место,
"Ее синие глаза никогда не улыбались , а от длинных черных кос шел запах лаванды .",тело,цветы,
"Пахло кислятиной , мокрыми шинелями и карболкой .",пространство,предметы,
Медвежатина пахла сосновой смолой .,еда,растение,
Пахло одеколоном .,,духи,
"Когда ракеты гасли , в парк возвращалась летняя ночь с ее отдаленным криком лягушек , блеском звезд и запахом цветущих лип .",пространство,растение,
"Иногда офицеры ссорились , и тогда в низенькой столовой у дяди Коли начинало пахнуть порохом , и казалось , вот вот сшибутся шпаги .",ситуация,химическое,метафора
Большие клумбы с левкоями и табаком пахли в сумерках сильно и сладко .,растение,растение,
Голубые их мундиры распространяли запах духов .,одежда,духи,
"Их запах проник в запущенные за зиму , закупоренные дома и заставил горожан распахнуть окна и балконы .",,,
"Я не знал , чем пахло вокруг , но мне казалось , что меня завалили ворохом веток , смоченных душистым дождем .",пространство,природа,
"Запах бархатцев , желтевших около каждой путевой будки , проникал даже в вагоны .",цветы,цветы,
Острые запахи ярмарочных товаров были слышны издалека .,предметы,предметы,
Удивительный запах !,окружение,,
"Ярче было солнце , сильнее пахли поля , громче был гром , обильнее дожди и выше трава .",окружение,природа,
Пахло липовым цветом .,растение,растение,
"Они принесли с собой запах пороха , красные знамена , простреленные в боях , удалые песни и беззаветную свою преданность революции .",люди,химическое,
В открытые окна вагона проникал запах водорослей .,растение,растение,
"Но все же сильно пахло чадом , как от паленых перьев .",,,
"Пахло новыми бочками , кожей , пряниками и коленкором .",предметы,предметы,
Пахло сушеной малиной .,еда,еда,
"— Пахнет озоном , — сказал отец .",пространство,химическое,
"Я продирался через молодой сосняк , изодрался вконец , но какой запах , какие сухие белые гвоздики , рыжая хвоя , какая паутина !",окружение,,
"Когда противни с горячими « мазурками » вынимали из печки , дом наполнялся такими запахами , что даже дедушка начинал нервничать в своем мезонине .",окружение,еда,
От него пахло ягодами и дымом .,человек,еда,
"И цветы белых лилий склонились к их легким подолам , распространяя аромат целомудрия .",цветы,чистота,метафора
От них воняло псиной .,люди,животное,
"В комнате пахло палеными волосами : Галя , завиваясь на ощупь , сожгла длинную прядь .",окружение,тело,
Иногда ветер наполнял улицу запахом гниющей воды и помидоровых листьев .,пространство,природа,
"Неистребимый запах дешевой пудры , кухонного чада и лекарств стоял повсюду .",пространство,смешанное,
"Все , связанное с железной дорогой , до сих пор овеяно для меня поэзией путешествий , даже запах каменноугольного дыма из паровозных топок .",,,
"Пахло кровью , валерьянкой и горящим спиртом .",пространство,смешанное,
Берега реки пахли теплой травой и песком .,пространство,природа,
"Как всегда , от запаха кофе казалось , что в квартире было уютнее , хотя висевший на стене « подарок моря » — испорченный термометр , украшенный ракушками , — и зиму и лето показывал одно и то же : три градуса холода .",пространство,еда,
Брусок издавал тончайший запах роз .,предмет,цветы,
Тотчас запах паленой шерсти распространялся вокруг .,предмет,предмет,
"Легкий , временами почти неуловимый , как отдаленный запах , а временами твердый , как металл , французский язык звучал у этих поэтов колдовством .",,,
"В бревенчатом доме , в квартире отца , пахло угольным дымом .",пространство,дым,
"Пахло навозом , бараниной , сеном , щепным товаром .",пространство,смешанное,
От усов Гронского разлетался тончайший запах фиалок .,тело,цветы,
"Он говорил гладко и сладко , распространяя запах одеколона .",люди,духи,
"От пана Ктуренды исходил сложный запах усатина , табачного перегара и самогона .",люди,смешанное,
"Его разморило от кофейного пара , запаха ванили , сладкой кондитерской теплоты и вкрадчивого полушепота белокурых сестер .",,,
"Пахло пылью , поднятой копытами лошадей , и болотной водой .",пространство,природа,
"Мне нравился сумрак зала , его гулкая пустота , две три лампочки в хрустальных чашечках , одиноко горевшие в разных углах , даже тот гостиничный запах пыльных ковров , что никогда не выветривался из « Метрополя » .",,,
Я чувствовал теплый и свежий запах волос .,тело,тело,
"Там горел яркий свет , пахло шоколадом , щебетали две сестры — кельнерши .",еда,еда,
"Тянуло сыростью , запахом осоки .",,,
Запах теплой и вялой летней листвы проникал в разбитые окна .,природа,пирода,
"Воспоминание о ней связано со скрежетом трамваев , выползающих на рассвете из железных ворот парка , с тяжелой кондукторской сумкой , натиравшей плечо , и с кислым запахом меди .",,,
Этот последний деревенский запах принесла с собой армия .,люди,пространство,метафора
От него действительно пахло порохом .,люди,химическое,
От них сильно пахло хлебом .,люди,еда,
Пахло полынью .,,растение,
Кромешная эта темнота сладковато пахла цветами .,пространство,цветы,
Пахло скипидаром от молодых зеленых шишек .,растение,химическое,
"Может быть , оттого , что только что миновала опасность , но дождь как будто стал теплее и с полей потянуло запахом сырой травы .",,,
"Нечто успокоительное чувствовалось в запахе скудной еды , еще сохранившемся в кухне .",еда,,метафора
"Дома эти , как утверждал Розовский , пахли теплой древесной трухой и медом .",,,
"Пахнуло духами , свежестью сада , запахом конфет .",пространство,смешанное,
